code,description,category,is_bonus_eligible,visa_description
0742,Veterinary Services,agricultural,true,
0763,Agricultural Co-operatives,agricultural,true,
0780,"Horticultural Services, Landscaping Services",agricultural,true,
1520,General Contractors-Residential and Commercial,contracted_services,true,
1711,"Air Conditioning Contractors – Sales and Installation, Heating Contractors – Sales, Service, Installation",contracted_services,true,
1731,Electrical Contractors,contracted_services,true,
1740,"Insulation – Contractors, Masonry, Stonework Contractors, Plastering Contractors, Stonework and Masonry Contractors, Tile Settings Contractors",contracted_services,true,
1750,Carpentry Contractors,contracted_services,true,
1761,"Roofing – Contractors, Sheet Metal Work – Contractors, Siding – Contractors",contracted_services,true,
1771,Contractors – Concrete Work,contracted_services,true,
1799,"Contractors – Special Trade, Not Elsewhere Classified",contracted_services,true,
2741,Miscellaneous Publishing and Printing,contracted_services,true,
2791,"Typesetting, Plate Making, & Related Services",contracted_services,true,
2842,"Specialty Cleaning, Polishing, and Sanitation Preparations",contracted_services,true,
3000,UNITED AIRLINES,airline,true,
3001,AMERICAN AIRLINES,airline,true,
3002,PAN AMERICAN,airline,true,
3003,Airlines,airline,true,
3004,TRANS WORLD AIRLINES,airline,true,
3005,BRITISH AIRWAYS,airline,true,
3006,JAPAN AIRLINES,airline,true,
3007,AIR FRANCE,airline,true,
3008,LUFTHANSA,airline,true,
3009,AIR CANADA,airline,true,
3010,KLM (ROYAL DUTCH AIRLINES),airline,true,
3011,AEORFLOT,airline,true,
3012,QANTAS,airline,true,
3013,ALITALIA,airline,true,
3014,SAUDIA ARABIAN AIRLINES,airline,true,
3015,SWISSAIR,airline,true,
3016,SAS,airline,true,
3017,SOUTH AFRICAN AIRWAYS,airline,true,
3018,VARIG (BRAZIL),airline,true,
3019,Airlines,airline,true,
3020,AIR-INDIA,airline,true,
3021,AIR ALGERIE,airline,true,
3022,PHILIPPINE AIRLINES,airline,true,
3023,MEXICANA,airline,true,
3024,PAKISTAN INTERNATIONAL,airline,true,
3025,AIR NEW ZEALAND,airline,true,
3026,Airlines,airline,true,
3027,UTA/INTERAIR,airline,true,
3028,AIR MALTA,airline,true,
3029,SABENA,airline,true,
3030,AEROLINEAS ARGENTINAS,airline,true,
3031,OLYMPIC AIRWAYS,airline,true,
3032,EL AL,airline,true,
3033,ANSETT AIRLINES,airline,true,
3034,AUSTRAINLIAN AIRLINES,airline,true,
3035,TAP (PORTUGAL),airline,true,
3036,VASP (BRAZIL),airline,true,
3037,EGYPTAIR,airline,true,
3038,KUWAIT AIRLINES,airline,true,
3039,AVIANCA,airline,true,
3040,GULF AIR (BAHRAIN),airline,true,
3041,BALKAN-BULGARIAN AIRLINES,airline,true,
