merchant_name,slug,mcc_code,mcc_description,category
1Password,1password,5734,Computer Software Stores,software
21c Museum Hotels,21c-museum-hotels,7011,"Lodging – Hotels, Motels, Resorts, Central Reservation Services (not elsewhere classified)",lodging
24 Hour Fitness,24-hour-fitness,7997,"Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses",entertainment
25hours Hotels,25hours-hotels,7011,"Lodging – Hotels, Motels, Resorts, Central Reservation Services (not elsewhere classified)",lodging
7-Eleven,7-eleven,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Albuquerque,7-eleven-albuquerque,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Anaheim,7-eleven-anaheim,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Anchorage,7-eleven-anchorage,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Arlington,7-eleven-arlington,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Atlanta,7-eleven-atlanta,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Aurora,7-eleven-aurora,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Austin,7-eleven-austin,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Bakersfield,7-eleven-bakersfield,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Baltimore,7-eleven-baltimore,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Boston,7-eleven-boston,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Charlotte,7-eleven-charlotte,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Chicago,7-eleven-chicago,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Cincinnati,7-eleven-cincinnati,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Colorado Springs,7-eleven-colorado-springs,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Columbus,7-eleven-columbus,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Corpus Christi,7-eleven-corpus-christi,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Dallas,7-eleven-dallas,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Denver,7-eleven-denver,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - El Paso,7-eleven-el-paso,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Fort Worth,7-eleven-fort-worth,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Fresno,7-eleven-fresno,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Honolulu,7-eleven-honolulu,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Houston,7-eleven-houston,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Indianapolis,7-eleven-indianapolis,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Jacksonville,7-eleven-jacksonville,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Kansas City,7-eleven-kansas-city,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Las Vegas,7-eleven-las-vegas,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Lexington,7-eleven-lexington,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Long Beach,7-eleven-long-beach,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Los Angeles,7-eleven-los-angeles,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Louisville,7-eleven-louisville,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Memphis,7-eleven-memphis,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Mesa,7-eleven-mesa,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Milwaukee,7-eleven-milwaukee,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Minneapolis,7-eleven-minneapolis,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Nashville,7-eleven-nashville,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - New Orleans,7-eleven-new-orleans,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - New York,7-eleven-new-york,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Oklahoma City,7-eleven-oklahoma-city,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Omaha,7-eleven-omaha,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Philadelphia,7-eleven-philadelphia,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Phoenix,7-eleven-phoenix,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Pittsburgh,7-eleven-pittsburgh,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Portland,7-eleven-portland,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Raleigh,7-eleven-raleigh,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Riverside,7-eleven-riverside,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - Sacramento,7-eleven-sacramento,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - San Antonio,7-eleven-san-antonio,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - San Diego,7-eleven-san-diego,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - San Francisco,7-eleven-san-francisco,5541,Service Stations ( with or without ancillary services),retail
7-Eleven - San Jose,7-eleven-san-jose,5541,Service Stations ( with or without ancillary services),retail
